Secteur géographique;Nombre de pièces;majoration unitaire du loyer de rÃ©fÃ©rence;Loyer de référence minoré;Loyer de référence;Loyer de référence majoré
10;4 et +;2,7;16,3;23,3;28,0
10;4 et +;2,7;16,3;23,3;28,0
10;4 et +;2,9;17,4;24,9;29,9
10;4 et +;3,1;18,6;26,6;31,9
11;1;3,7;22,3;31,8;38,2
11;1;3,1;18,9;27,0;32,4
11;1;3,3;20,1;28,7;34,4
11;1;3,1;19,0;27,2;32,6
11;2;3,1;19,1;27,3;32,8
11;2;2,9;17,5;25,0;30,0
11;2;3,0;18,1;25,9;31,1
11;2;3,1;18,9;27,0;32,4
11;3;3,0;18,2;26,0;31,2
11;3;2,5;15,0;21,4;25,7
11;3;2,6;15,6;22,3;26,8
11;3;2,7;16,5;23,6;28,3
11;4 et +;2,8;16,9;24,2;29,0
11;4 et +;2,8;17,1;24,4;29,3
11;4 et +;2,7;16,4;23,4;28,1
11;4 et +;2,5;15,3;21,9;26,3
12;1;3,9;23,7;33,8;40,6
12;1;3,1;18,9;27,0;32,4
12;1;3,3;20,2;28,9;34,7
12;1;3,4;20,7;29,5;35,4
12;2;3,3;19,9;28,4;34,1
12;2;2,8;17,2;24,6;29,5
12;2;2,8;16,9;24,1;28,9
12;2;3,3;20,0;28,6;34,3
12;3;2,8;17,3;24,7;29,6
12;3;2,6;15,8;22,5;27,0
12;3;2,6;15,9;22,7;27,2
12;3;3,0;18,1;25,9;31,1
12;4 et +;2,6;15,8;22,5;27,0
12;4 et +;2,5;15,2;21,7;26,0
12;4 et +;2,8;16,9;24,1;28,9
12;4 et +;3,0;18,5;26,4;31,7
13;1;3,4;20,6;29,4;35,3
13;1;3,0;18,1;25,9;31,1
13;1;2,8;16,8;24,0;28,8
13;1;3,0;18,3;26,1;31,3
13;2;2,9;17,5;25,0;30,0
13;2;2,5;15,1;21,6;25,9
13;2;2,3;14,1;20,2;24,2
13;2;2,7;16,6;23,7;28,4
13;3;2,7;16,2;23,1;27,7
13;3;2,1;13,0;18,6;22,3
13;3;2,2;13,2;18,9;22,7
13;3;2,3;14,2;20,3;24,4
13;4 et +;2,6;15,9;22,7;27,2
13;4 et +;1,9;11,6;16,5;19,8
13;4 et +;2,0;11,9;17,0;20,4
13;4 et +;2,1;13,0;18,5;22,2
14;1;3,3;20,0;28,5;34,2
14;1;3,1;18,8;26,9;32,3
14;1;3,0;18,3;26,1;31,3
14;1;3,3;20,3;29,0;34,8
14;2;3,0;18,0;25,7;30,8
14;2;2,7;16,5;23,6;28,3
14;2;2,5;15,3;21,8;26,2
14;2;3,0;18,4;26,3;31,6
14;3;2,7;16,2;23,2;27,8
14;3;2,5;15,0;21,4;25,7
14;3;2,4;14,6;20,9;25,1
14;3;2,9;17,6;25,2;30,2
14;4 et +;2,6;15,9;22,7;27,2
14;4 et +;2,4;14,4;20,5;24,6
14;4 et +;2,3;13,9;19,8;23,8
14;4 et +;2,7;16,7;23,8;28,6
